a5_error_rate,a5_p95_ms,a5_safe,attempt_id,b5_error_rate,b5_p95_ms,b5_safe,normalized_p95_difference_b_minus_a,order,replication_id,y
0.0,27.747471300000033,True,1,0.0,132.07382355000027,True,0.20865270450000048,B5->A5,c001,0
0.0,59.94445935000002,True,1,0.13923611111111112,10000.3555248,False,19.8808221309,A5->B5,c002,1
0.0,143.12104790000004,True,1,0.1751736111111111,10000.6531996,False,19.7150643034,B5->A5,c003,1
0.00017361111111111112,43.26975345,True,1,0.0,150.75878835,True,0.2149780698,A5->B5,c004,0
0.0,139.95311720000004,True,1,0.7354166666666667,10001.0891347,False,19.722272035,B5->A5,c005,1
0.0,87.42999680000007,True,2,0.26788194444444446,10000.88178125,False,19.8269035689,A5->B5,c006,1
0.0,98.00871525000008,True,1,0.990625,10001.1752588,False,19.8063330871,B5->A5,c007,1
0.0,86.51932380000005,True,1,0.22847222222222222,10000.81566725,False,19.828592686900002,B5->A5,c008,1
0.0,75.28868550000007,True,1,0.20572916666666666,10000.709115,False,19.850840859,A5->B5,c009,1
0.0,79.70733825000006,True,1,0.3355902777777778,10000.9975594,False,19.8425804423,A5->B5,c010,1
0.00017361111111111112,58.6963761,True,1,0.0,222.9503085500001,True,0.32850786490000017,B5->A5,c011,0
0.00017361111111111112,184.6418208,True,1,0.9925347222222223,10001.15836595,False,19.6330330903,B5->A5,c012,1
0.0,169.7840444500001,True,1,0.9717013888888889,10001.150186750001,False,19.662732284600004,B5->A5,c013,1
0.0,166.92731050000003,True,1,0.32534722222222223,10000.974998000002,False,19.668095375000004,B5->A5,c014,1
0.0,109.53272415000019,True,1,0.15381944444444445,10000.56659375,False,19.7820677392,A5->B5,c015,1
0.0,159.4633483,True,1,0.8821180555555556,10001.119607249999,False,19.6833125179,B5->A5,c016,1
0.0,178.87389955000003,True,1,0.5133680555555555,10001.005000000001,False,19.644262200900002,B5->A5,c017,1
0.0,112.22376525000006,True,1,0.6451388888888889,10001.133786800001,False,19.7778200431,A5->B5,c018,1
0.0,179.38994050000005,True,1,0.6616319444444444,10001.1182363,False,19.643456591600003,B5->A5,c019,1
0.0,61.2737587,True,1,0.30625,10000.8930669,False,19.879238616400002,A5->B5,c020,1
0.0,177.55609175000004,True,1,0.9486111111111111,10001.17834185,False,19.6472445002,B5->A5,c021,1
0.0,107.97603485000005,True,1,0.9871527777777778,10001.168868,False,19.7863856663,B5->A5,c022,1
0.0,87.47162215000002,True,1,0.43038194444444444,10001.003932,False,19.8270646197,B5->A5,c023,1
0.0,57.75771825,True,1,0.0,186.83902180000004,True,0.25816260710000005,B5->A5,c024,0
0.0,98.18290820000001,True,1,0.6871527777777777,10001.0870881,False,19.805808359799997,B5->A5,c025,1
0.0,97.45655465000004,True,1,0.9671875,10001.148086399999,False,19.807383063499998,B5->A5,c026,1
0.0,190.21513835000002,True,1,0.9237847222222222,10001.15648095,False,19.6218826852,A5->B5,c027,1
0.0,87.42668985000002,True,1,0.13663194444444443,10000.4424746,False,19.8260315695,B5->A5,c028,1
